b,r,r,c,c,c,c,c,c,c,r,r,r,c,c,l,b,b,b,b,b,b
0,3800,6,0,2,3,2,1,2,1,25,0,0,0,0,1,0,1,0,1,0,0
0,500,1,5,4,1,3,1,0,0,100,5,5,0,0,1,1,1,1,1,0,0
0,50,1,0,2,1,3,6,0,0,100,5,5,0,0,1,1,1,1,0,0,0
0,600,1,0,4,3,1,6,0,0,50,0,0,0,0,0,0,0,0,0,0,0
1,2400,2,0,0,1,2,6,2,4,75,1,1,0,0,1,0,0,0,0,0,0
1,115000,5,0,0,6,1,3,2,4,100,0,1,0,0,1,1,0,0,0,0,0
1,300,1,7,1,6,5,3,0,0,100,0,2,0,0,0,0,0,0,0,0,0
1,300,1,7,0,1,4,4,0,0,100,1,1,0,0,1,0,0,0,0,0,0
1,300,1,7,0,0,5,3,0,0,100,0,1,0,0,0,1,0,0,0,0,0
1,300,1,5,3,1,0,3,0,0,100,1,0,0,0,0,1,1,0,0,0,0
1,300,1,7,1,0,3,0,0,0,100,2,5,0,0,0,0,0,0,0,0,0
1,8250,1,0,3,3,1,6,0,0,100,1,2,0,0,1,1,1,1,1,1,1
1,300,1,7,1,6,0,3,0,0,100,1,1,0,0,0,1,1,0,0,0,0
0,1700,1,0,3,6,2,1,0,0,100,0,0,0,0,0,1,1,0,0,0,0
1,300,1,5,4,0,5,1,0,0,100,5,5,0,0,0,1,0,0,0,0,0
1,1000,1,5,1,0,0,6,0,0,100,2,9,0,0,0,1,0,0,0,0,0
1,500,1,0,3,6,0,3,0,0,75,0,1,0,0,1,1,1,1,1,1,0
1,600,2,0,1,0,5,3,2,1,100,1,0,0,0,1,1,1,0,1,1,1
0,100,1,5,4,4,1,0,0,0,100,5,5,0,0,0,1,0,0,0,0,0
0,28300,4,0,1,1,3,3,2,2,100,0,0,0,0,1,1,1,1,0,0,0
1,10000,4,0,0,6,1,3,0,1,75,0,0,0,0,0,1,1,0,1,0,0
1,300,1,6,1,1,5,6,0,0,100,5,5,0,0,0,1,1,0,1,0,0
1,300,1,7,1,0,0,3,0,0,100,1,1,2,0,0,1,0,0,0,0,0
0,3300,1,0,3,1,0,4,0,0,100,5,5,0,0,0,1,0,0,1,0,0
1,16000,4,0,2,4,4,1,0,2,100,1,5,0,0,1,1,1,1,0,1,0
1,4100,5,0,1,0,5,1,2,3,100,0,1,0,0,1,1,1,0,1,0,0
0,2500,1,0,3,4,1,5,0,0,75,0,2,0,0,0,1,0,0,0,0,0
0,1000,1,0,3,1,0,5,0,0,100,2,5,0,0,0,0,0,0,1,0,0
0,100,1,4,4,1,2,4,0,0,100,5,5,0,0,0,0,1,0,1,0,0
0,800,1,0,0,0,1,4,2,4,100,2,1,0,0,0,1,1,0,0,0,0
0,80000,1,5,4,1,1,4,0,0,100,5,5,0,0,1,0,0,1,1,0,0
1,1100,2,0,3,1,2,3,0,0,100,0,0,0,0,0,1,1,1,1,1,1
1,3400,2,1,0,3,3,6,0,0,75,1,1,0,0,1,0,0,0,0,1,0
1,300,1,0,3,1,0,3,0,0,100,2,1,0,0,1,1,0,0,0,0,0
1,300,1,7,1,1,3,1,0,0,100,1,1,0,0,0,1,1,0,0,0,0
0,500,1,5,4,4,0,0,0,0,100,10,10,0,0,1,0,1,0,0,1,0
1,1300,1,0,0,0,5,3,2,1,100,1,1,0,0,0,1,1,0,0,0,0
0,500,1,2,0,3,2,6,1,2,25,0,0,0,1,0,0,1,0,0,0,0
1,2300,1,0,2,0,0,3,0,0,100,2,1,0,0,1,1,1,0,1,1,0
1,360000,12,0,1,6,0,4,2,4,100,1,1,0,0,1,1,1,1,1,1,0
1,300,1,6,2,4,5,1,0,0,100,5,5,0,0,1,1,1,1,0,1,0
1,200,1,0,1,3,2,1,0,0,75,0,0,0,0,0,1,1,1,1,1,1
1,4000,2,0,0,0,5,3,2,4,100,2,1,0,0,1,1,0,0,0,0,0
1,2600,1,0,2,1,5,3,0,0,50,0,0,0,0,1,1,1,0,1,0,0
0,300,1,6,3,4,1,0,0,0,100,5,5,0,0,1,1,1,0,0,0,0
1,300,1,7,1,0,5,3,0,0,100,5,5,0,0,1,0,0,1,0,0,0
1,1000,1,6,2,4,0,5,0,0,75,1,2,0,0,0,1,0,0,0,0,0
0,100,1,0,2,1,2,6,0,0,100,1,1,0,0,0,1,0,0,0,0,0
1,9000,3,0,2,6,5,6,0,1,100,9,9,0,0,1,1,1,0,1,0,0
1,4000,2,0,1,2,2,5,2,2,80,1,1,0,0,1,1,1,0,1,1,1
1,300,1,7,1,0,0,5,0,0,100,0,1,0,0,0,1,0,0,0,0,0
0,1000,1,5,4,1,1,0,0,0,100,5,9,0,0,0,1,0,0,0,0,0
1,22000,1,0,4,3,4,3,0,0,100,0,0,0,0,1,1,1,1,1,0,0
0,1100,1,0,0,1,2,6,2,4,100,2,2,0,0,0,1,1,0,0,0,0
0,100,1,4,4,0,5,1,0,0,100,10,10,0,0,1,1,1,0,1,0,0
1,450,1,0,1,6,5,6,2,3,100,5,2,0,0,1,1,0,1,0,1,0
0,4000,1,0,3,0,0,1,0,0,100,5,5,0,0,1,1,1,0,0,0,0
1,50,1,0,2,6,5,3,0,0,100,9,5,0,0,1,1,0,0,0,0,0
0,1700,1,0,1,1,2,6,0,1,100,0,2,2,0,1,1,1,0,0,0,0
1,300,1,7,1,0,0,0,0,0,100,5,5,0,0,0,0,0,0,0,0,0
0,300,1,0,3,1,1,0,0,0,100,5,1,0,0,0,0,0,1,1,0,0
1,26000,3,0,1,0,1,6,2,4,100,1,2,0,0,1,1,1,1,1,1,0
1,600,1,2,2,3,2,6,2,2,100,2,2,0,0,1,1,1,1,1,1,0
0,300,1,5,3,4,1,0,0,0,100,5,5,0,0,1,1,0,0,0,0,0
1,300,1,7,1,6,0,3,0,0,100,1,1,0,0,0,1,1,0,0,0,0
1,350,1,0,0,1,0,6,2,3,100,1,1,0,0,1,1,1,1,1,1,0
1,1700,1,0,3,5,2,1,0,0,25,0,0,0,0,1,1,1,0,1,1,0
1,29000,3,0,2,6,2,0,2,3,100,2,0,0,0,1,1,1,1,1,1,1
1,200,1,0,1,3,5,0,0,0,100,1,1,0,0,1,1,1,1,1,1,1
0,9100,1,0,0,4,5,1,2,3,100,5,5,0,0,1,0,0,0,0,0,0
1,900,1,0,1,0,5,3,2,2,100,2,2,0,0,1,1,1,1,1,1,0
1,200,1,2,2,6,2,0,2,0,100,1,1,0,0,1,1,1,0,0,0,0
1,300,1,7,1,0,3,1,0,0,100,5,5,0,0,1,1,0,1,0,1,0
0,200,1,0,4,1,3,0,0,0,100,2,1,0,0,1,0,0,0,0,0,0
1,2300,1,0,1,1,2,6,1,3,100,0,0,0,0,1,1,1,1,1,1,0
1,300,1,5,3,6,1,0,0,0,100,2,0,0,0,0,1,0,0,0,0,0
0,1000,1,0,2,1,3,5,0,0,75,0,0,0,0,0,0,1,0,0,0,0
1,200,1,0,3,1,2,2,0,0,50,1,1,1,1,1,1,1,0,0,0,0
1,300,1,5,3,0,1,6,0,0,100,1,2,0,0,0,1,0,0,0,0,0
0,400,1,0,2,0,3,3,0,0,100,0,1,0,0,0,1,0,0,0,1,0
0,30000,1,0,3,0,0,0,0,0,100,2,10,0,0,1,1,1,1,1,0,0
0,1900,7,5,4,1,2,4,0,0,100,5,5,0,0,1,1,0,0,1,1,0
0,30,1,0,2,1,3,3,0,0,75,0,1,0,0,0,1,1,0,0,1,0
1,2600,2,0,2,5,1,3,2,2,50,0,1,0,0,1,1,1,0,0,0,0
0,1600,3,0,0,1,2,1,2,1,75,2,1,0,0,1,1,1,1,0,0,0
1,700,1,0,0,6,2,4,2,2,100,1,1,0,0,1,1,1,0,1,1,1
0,300,1,6,3,4,1,0,0,0,100,5,5,0,0,1,1,1,0,1,1,0
0,200,1,5,4,4,1,3,0,0,100,0,0,0,0,0,1,0,0,0,0,0
1,300,1,7,1,0,0,6,0,0,100,9,5,0,0,0,1,0,0,0,0,0
1,250,1,3,1,0,5,3,0,0,100,2,5,0,0,1,1,1,1,1,1,1
0,4500,1,0,1,1,1,5,2,2,100,9,9,0,0,1,1,1,0,1,0,0
1,300,1,7,1,0,0,6,0,0,100,5,5,0,0,0,1,0,0,0,0,0
0,600,2,0,4,6,1,3,0,0,99,0,5,0,0,0,1,1,1,0,1,1
1,2300,1,5,3,1,1,0,0,0,75,2,1,0,0,0,1,0,0,0,0,0
0,1000,1,0,2,1,5,3,0,0,100,1,1,0,0,0,0,0,1,0,0,0
1,1000,2,0,3,1,2,0,0,0,100,0,1,0,0,1,1,1,1,1,1,1
1,300,1,5,3,1,2,6,0,0,100,1,1,0,0,0,1,1,0,0,0,0
0,3500,1,1,0,3,4,1,0,0,50,0,0,0,0,1,1,1,0,0,0,0
0,500,2,0,0,1,4,0,2,3,100,1,2,0,0,0,0,1,0,0,0,0
0,31000,6,0,0,1,3,3,2,4,100,5,5,0,0,1,1,1,0,0,0,0
1,80000,2,0,1,4,2,1,2,4,100,2,2,0,0,1,1,1,0,0,0,0
1,6300,3,0,0,4,0,2,0,0,100,2,1,0,0,1,1,1,0,0,0,0
1,10000,1,0,3,0,5,3,0,1,100,5,5,0,0,1,1,1,1,1,1,1
